"Refs","Value","Footprint","Qty","DNP"
"?","A_A4","ProPrj_STM-easyedapro:","1",""
"?","A_A4","ProPrj_STM-easyedapro:","1",""
"?","A_A4","ProPrj_STM-easyedapro:","1",""
"BOOT1","BOOT","ProPrj_STM-easyedapro:HDR-F-2.54_1X3","1",""
"C1","10uF","ProPrj_STM-easyedapro:C0603","1",""
"C2","10uF","ProPrj_STM-easyedapro:C0603","1",""
"C3","100pF","ProPrj_STM-easyedapro:C0603","1",""
"C4","100pF","ProPrj_STM-easyedapro:C0603","1",""
"C5","100uF","ProPrj_STM-easyedapro:C1206","1",""
"C6","100uF","ProPrj_STM-easyedapro:CASE-B_3528","1",""
"C7","33nF","ProPrj_STM-easyedapro:C0603","1",""
"C8","33nF","ProPrj_STM-easyedapro:C0603","1",""
"C9","100uF","ProPrj_STM-easyedapro:CAP-SMD_BD6.3-L6.6-W6.6-FD","1",""
"C10","100nF","ProPrj_STM-easyedapro:C0603","1",""
"C11","100nF","ProPrj_STM-easyedapro:C0603","1",""
"C12","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C13","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C14","1uF","ProPrj_STM-easyedapro:C0402","1",""
"C16","10uF","ProPrj_STM-easyedapro:C0603","1",""
"C20","10uF","ProPrj_STM-easyedapro:C0603","1",""
"C21","2.2uF","ProPrj_STM-easyedapro:C0603","1",""
"C22","10uF","ProPrj_STM-easyedapro:C0603","1",""
"C23","10uF","ProPrj_STM-easyedapro:C0603","1",""
"C24","2.2uF","ProPrj_STM-easyedapro:C0603","1",""
"C26","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C27","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C30","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C31","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C32","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C33","100nF","ProPrj_STM-easyedapro:C0402","1",""
"C34","10nF","ProPrj_STM-easyedapro:C0402","1",""
"C35","4.7uF","ProPrj_STM-easyedapro:C0402","1",""
"C36","4.7uF","ProPrj_STM-easyedapro:C0402","1",""
"C37","1uF","ProPrj_STM-easyedapro:C0402","1",""
"C38","100uF","ProPrj_STM-easyedapro:CAP-SMD_BD6.3-L6.6-W6.6-FD","1",""
"C39","1uF","ProPrj_STM-easyedapro:C0402","1",""
"C40","100nF","ProPrj_STM-easyedapro:C0603","1",""
"C41","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C42","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C43","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C44","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C45","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C46","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C48","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C49","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C50","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
"C51","100uF","ProPrj_STM-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD","1",""
