"Refs","Value","Footprint","Qty","DNP"
"BOOT1","BOOT","","1",""
"C1","10uF","","1",""
"C2","10uF","","1",""
"C3","100pF","","1",""
"C4","100pF","","1",""
"C5","150pF","PCM_JLCPCB:C_0603","1",""
"C6","100nF","PCM_JLCPCB:C_0603","1",""
"C7","4.7uF","PCM_JLCPCB:C_0603","1",""
"C8","22uF","PCM_JLCPCB:C_0603","1",""
"C9","47pF","PCM_JLCPCB:C_0603","1",""
"C10","4.7uF","","1",""
"C11","2.2uF","","1",""
"C14","1uF","","1",""
"C15","2.2uF","","1",""
"C16","10uF","","1",""
"C17","2.2uF","","1",""
"C18","2.2uF","","1",""
"C19","4.7uF","","1",""
"C20","10uF","","1",""
"C21","2.2uF","","1",""
"C22","10uF","","1",""
"C23","10uF","","1",""
"C24","2.2uF","","1",""
"C26","100nF","","1",""
"C27","100nF","","1",""
"C30","100nF","","1",""
"C31","100nF","","1",""
"C32","100nF","","1",""
"C33","100nF","","1",""
"C34","10nF","","1",""
"C35","4.7uF","","1",""
"C36","4.7uF","","1",""
"C37","1uF","","1",""
"C39","1uF","","1",""
"C40","100nF","","1",""
"C41","100uF","","1",""
"C42","100uF","","1",""
"C43","100uF","","1",""
"C44","100uF","","1",""
"C45","100uF","","1",""
"C46","100uF","","1",""
"C48","100uF","","1",""
"C49","100uF","","1",""
"C50","100uF","","1",""
"C51","100uF","","1",""
"C52","100uF","","1",""
"C53","100uF","","1",""
"CC_Boot?","100nF","PCM_JLCPCB:C_0603","1",""
"C_IN1","2.2uF","easyeda2kicad:C1210","1",""
"C_IN2","2.2uF","easyeda2kicad:C1210","1",""
"C_IN_BYPASS?","100nF","PCM_JLCPCB:C_0805","1",""
"C_OUT1","22uF","PCM_JLCPCB:C_0805","1",""
"C_OUT2","22uF","PCM_JLCPCB:C_0805","1",""
"D1","SS210","","1",""
"D2","SS210","","1",""
"D3","SS210","","1",""
"D4","SS210","","1",""
"D6","SS510","PCM_JLCPCB:D_SMA","1",""
"FAN?","HDR-F-2.54_1x4","","1",""
"GPIO1","HDR-F-2.54_1x8","","1",""
"I2C?","I2C","","1",""
"L1","100uH","","1",""
"L2","4.7uH","easyeda2kicad:IND-SMD_L2.0-W1.6-B","1",""
"L3","47uH","easyeda2kicad:IND-SMD_L7.7-W6.6_APS07A30M220","1",""
"LED1","19-213/Y2C-CQ2R2L/3T(CY)","","1",""
"LED2","KT-0603R","","1",""
"NTC100K?","HDR-F-2.54_1x2","","1",""
"Q5","CSD19505KCS","","1",""
"Q6","CSD19505KCS","","1",""
"Q7","CSD19505KCS","","1",""
"Q8","CSD19505KCS","","1",""
"R1","5.1kΩ","","1",""
"R2","200kΩ","","1",""
"R3","5.1kΩ","","1",""
"R4","200kΩ","","1",""
"R5","100kΩ","","1",""
"R6","100kΩ","","1",""
"R7","22Ω","","1",""
"R8","22Ω","","1",""
"R9","10kΩ","","1",""
"R10","10kΩ","","1",""
"R11","5.1Ω","","1",""
"R12","5.1Ω","","1",""
"R13","10kΩ","","1",""
"R14","10kΩ","","1",""
"R15","100kΩ","","1",""
"R16","100kΩ","","1",""
"R17","100kΩ","","1",""
"R18","1mΩ","","1",""
"R19","1mΩ","","1",""
"R20","15kΩ","PCM_JLCPCB:R_0603","1",""
"R21","110kΩ","PCM_JLCPCB:R_0603","1",""
"R22","1mΩ","","1",""
"R23","1mΩ","","1",""
"R24","1mΩ","","1",""
"R25","1mΩ","","1",""
"R26","5.1kΩ","","1",""
"R27","10kΩ","","1",""
"R28","5.1kΩ","","1",""
"R29","10kΩ","","1",""
"R30","10kΩ","","1",""
"R31","510Ω","","1",""
"R32","510Ω","","1",""
"R33","1kΩ","","1",""
"R34","1kΩ","","1",""
"R35","68kΩ","PCM_JLCPCB:R_0603","1",""
"R36","15kΩ","PCM_JLCPCB:R_0603","1",""
"R37","5.1Ω","","1",""
"R38","5.1Ω","","1",""
"R39","430kΩ","PCM_JLCPCB:R_0603","1",""
"R40","47kΩ","PCM_JLCPCB:R_0603","1",""
"R41","10kΩ","","1",""
"R42","10kΩ","","1",""
"RESET?","TS-1187A-B-A-B","","1",""
"SPI1","SPI","","1",""
"ST-LINK?","ST-Link","","1",""
"U1","STM32F072RBT6","","1",""
"U2","B1212S-1W_C883463","","1",""
"U3","B1212S-1W_C883463","","1",""
"U4","INA240A4DR","","1",""
"U5","INA240A4DR","","1",""
"U6","ACS712ELCTR-30A-T","","1",""
"U7","ACS712ELCTR-30A-T","","1",""
"U8","SCT2A25STER","easyeda2kicad:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","1",""
"U9","SY8120B1ABC","easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","1",""
"UA?","IRS21867STRPBF","","1",""
"UART1","UART","","1",""
"UB?","IRS21867STRPBF","","1",""
"USB1","TYPE-C 16PIN 2MD(073)","","1",""
"VIN?","XT60PW-M","","1",""
"VOUT?","XT60PW-F","","1",""
